Product,Original Price,Selling Price,Units Sold,Tag,revenue,discount_percent
"GTPLAYER Chair Computer Gaming Chair (Leather, Ivory)， office furniture gaming chair",,129.68,8,Free shipping,1037.44,0.0
Nathan James Bailey Upholstered Rattan Bar Stool in Oak Finish Frame,,172.61,1,Free shipping,172.61,0.0
Dressers for Bedroom Milky-White Storage Makeup Vanity Desk With Large Lighted Mirror With Power Outlet and LED Strip Furniture,,151.55,4,Free shipping,606.2,0.0
2/5 Pieces Patio Furniture Sets All Weather Outdoor Sectional Patio Sofa Manual Weaving Wicker Rattan Patio Seating Sofas,,237.47,11,Free shipping,2612.17,0.0
"3 Pieces Patio Furniture Set Outdoor Conversation Textilene Fabric Chairs for Lawn, Garden, Balcony, Poolside",,55.96,1,Free shipping,55.96,0.0
"EASELAND Sofa Couch, 88” Chenille Loveseat Comfy Couches for Living Room, Modern Deep Seat Sofa with Removable Back and Seat Cus",,305.08,1,Free shipping,305.08,0.0
"Sofa Bed Reversible Convertible Sleeper Pull Out Couches with Storage Chaise, Linen Fabric Furniture for Living Room, Apartment",633.27,342.3,19,Free shipping,6503.7,45.95
"Aidan Sling Accent Chair / Metal Framed Armchair with Shredded Foam Cushioning, Oatmeal Chairs Living Room Furniture",,77.65,1,Free shipping,77.65,0.0
"New Prepac Fremont 5-Drawer Chest for Bedroom, 16"" D X 31.5"" W X 45.25"" H, Espresso Dressing Table Bedroom Furniture",,145.9,5,Free shipping,729.5,0.0
Air Dresser LED White Vanity Set With Stool and Power Outlet Bedroom Furniture Home Makeup Vanity Table Girls(White) Furnitures,355.38,200.12,28,Free shipping,5603.360000000001,43.69
Sturdy Steel Frame Vanity Desk Hallway Dresser for Bedroom Furniture Entryway Furnitures Wood Top Closets Dresser With 3 Drawers,,38.58,2,Free shipping,77.16,0.0
Full Size Bed Frame Queen Bedroom Furniture Upholstered Panel Bed in Black,,90.8,4,Free shipping,363.2,0.0
"Living Room Sofa,Beige Linen Modern 3 Seater L Shaped Upholstered Furniture,Reversible Footrest with Storage Sofa",,297.24,1,Free shipping,297.24,0.0
Faux Leather Sleeper Sofa With Mattress and Frame Living Room Sofas Convertible Futon Couch for Living Room Furniture White,,150.54,7,Free shipping,1053.78,0.0
VEVOR Ergonomic Rocking Wooden Kneeling Chair Stool Correct Posture Computer Chair Original Home Office Furniture Thick Cushion,108.32,58.99,223,Free shipping,13154.77,45.54
"Sofa with 2 Seats W/Armrest, Upholstered Love Seat Velvet 2-Seater Couches for Living Room, Sofa with 2 Seats",,141.18,1,Free shipping,141.18,0.0
"7 Pieces Patio Furniture Set Sectional Rattan Wicker Sofa Outdoor Conversations Sets with Table for Garden, Poolside, Backyard",,377.51,2,Free shipping,755.02,0.0
Makeup Vanity Table Set Glass Top Makeup Vanity Table With 10x Magnifying Mirror 3 Light Settings (Modern White) Furnitures Desk,,167.79,1,Free shipping,167.79,0.0
Nordic Plastic Sofa Side tables mini Corner coffee table home decor low Bedside tables living room round Small stool Furniture,,103.78,15,Free shipping,1556.7,0.0
Bedroom Bedside Table of Furniture High Gloss LED Nightstand Acrylic Bedside Table With 3 Drawers for Bedroom Living Room Tables,,84.52,1,Free shipping,84.52,0.0
Makeup Table Makeup Vanity With Lights Make Up Table 2 Cabinets & Long Storage Shelf Furniture Bathroom 10 Led Lights White Desk,,157.05,12,Free shipping,1884.6,0.0
"Garden Furniture Set 7 Piece, Patio Couch Sets Chair, PE Rattan Sectional with 45"" Fire Pit Table, Garden Furniture Set",1506.07,897.64,6,Free shipping,5385.84,40.4
"Lazy Sofa Bedroom Room, Tatami Small Apartment, Balcony Small Sofa Bean Bag Sofa Set Living Room Furniture Lounge Chair",,93.82,1,Free shipping,93.82,0.0
6pcs Patio Furniture Set PE Gray Rattan Wicker Sectional Outdoor Sofa Set Outside Couch W/Blue Washable Seat,,356.63,1,Free shipping,356.63,0.0
"Cushions for Patio Furniture Replacement, Patio Furniture Cushions, Deep Seat Cushions, Outdoor Seat Cushions",449.85,263.91,15,Free shipping,3958.650000000001,41.33
Coffee Table Tv Cabinet White Kitchen Cabinets for Living Room Sets Furniture LED TV Stand for 55 Inch TV Bedroom Wall Shelves,208.94,115.19,30,Free shipping,3455.7,44.87
Turn-N-Tube No Tool 3-Tier Entertainment TV Stands Multicolor Living Room Furniture,,42.06,2,Free shipping,84.12,0.0
"Set of 2 LED Nightstand with 2 Drawers, Bedside Table with Drawers for Bedroom Furniture, Side Bed Table with LED Light, White",213.67,111.74,14,Free shipping,1564.36,47.7
"Rane Convertible Sofa Bed, Sofa Set Living Room Furniture",,107.9,1,Free shipping,107.9,0.0
